报告期,营业总收入,其中：营业收入,营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：对联营企业和合营企业的投资收益,资产处置收益,其他收益,营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,利润总额,减：所得税费用,净利润差额(合计平衡项目),净利润,（一）持续经营净利润,归属于母公司股东的净利润,少数股东损益,扣除非经常性损益后的净利润,基本每股收益,稀释每股收益,其他综合收益,归属母公司所有者的其他综合收益,综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2025-03-31,969147449.22,969147449.22,723918056.3599999,485628952.97,8290236.27,194747926.06,27661969.29,18835159.65,-11246187.88,1269626.82,12333782.57,219837.58,9285597.95,5139852.39,-1114257.79,-77018.28,550.79,6978372.73,246728475.45,481078.32,,608499.16,,246601054.61,36590491.97,,210010562.64,210010562.64,203572140.06,6438422.58,195050628.12,0.47,0.47,-49238.44,-48233.98,209961324.2,203523906.08,6437418.12
2024-12-31,3728023668.64,3728023668.64,3079233513.65,1992486629.73,26285694.92,936936467.22,114373116.53,66691710.29,-57540105.04,7376553.13,65218015.53,9796143.85,7040316.99,-6569992.96,13664207.8,-1485626.25,15708.14,27758400.75,666822017.88,27769.71,,9296095.47,,657553692.12,109255200.41,,548298491.71,548298491.71,528093859.48,20204632.23,510857286.05,1.23,1.23,303877.24,297678.14,548602368.95,528391537.62,20210831.33
2024-09-30,2791816831.37,2791816831.37,2212469157.1099997,1458123581.22,19732504.02,643880933.77,83480506.97,51039415.65,-43787784.52,4021280.55,48084916.74,7789908.79,16841119.26,-6832189.76,6432972.64,2761598.94,-3300.73,18041366.08,572355494.44,96604.71,,3557024.75,,568895074.4,96752786.51,,472142287.89,472142287.89,457504222.25,14638065.64,448970834.66,1.06,1.06,-68275.33,-66882.51,472074012.56,457437339.74,14636672.82
2024-06-30,1927715126.53,1927715126.53,1528867504.42,995645978.19,13566201.08,451062425.48,63830466.37,34103260.79,-29340827.49,4959518.33,34643807.79,6908996.91,12322157.55,-7565737.28,4062606.37,2661001.26,-4285.98,13233501.84,389342552.6,96854.41,,1573474.95,,387865932.06,64240527.55,,323625404.51,323625404.51,311912013.03,11713391.48,308555706.17,0.72,0.72,99561.75,97530.69,323724966.26,312009543.72,11715422.54
2024-03-31,955017184.55,955017184.55,715239203.05,484045724.45,9574612.83,189739670.4,29736666.77,16788255.4,-14645726.8,1939297.45,17067050.62,460860.99,5331362.7,1573412.98,-2971937.7,1327021.48,-22.0,7636728.4,240223939.49,446156.0,,328825.99,,240341269.5,37120305.23,,203220964.27,203220964.27,197665895.38,5555068.89,193099080.66,0.46,0.46,5085.97,4982.22,203226050.24,197670877.6,5555172.64
2023-12-31,3136746407.53,3136746407.53,2696306862.44,1822074218.44,24385666.41,715166032.78,110041750.49,69014293.88,-44375099.56,16854165.83,60980305.18,13279749.56,7901691.34,5520602.44,90519475.27,1722587.83,1208529.36,20121628.2,536628339.46,281447.7,,12206549.53,,524703237.63,72864003.92,,451839233.71,451839233.71,443250935.32,8588298.39,352367707.07,1.03,1.03,201944.45,197824.78,452041178.16,443448760.1,8592418.06
2023-09-30,2446244490.16,2446244490.16,2004757828.14,1385043273.39,18267515.61,501813781.22,82053968.42,48389153.88,-30809864.38,13742725.58,45012815.13,6412693.61,18052929.67,6075366.41,73720580.76,2531507.88,2767272.44,10838099.81,510422358.16,635283.28,,5074357.07,,505983284.37,75605589.38,,430377694.99,430377694.99,418381342.81,11996352.18,360259384.19,0.97,0.97,379873.86,372124.43,430757568.85,418753467.24,12004101.61
2023-06-30,1640351697.69,1640351697.69,1360939067.91,922198887.55,11164578.69,357096878.62,56554540.45,34546241.69,-20622059.09,8814929.7,29727654.74,6678899.49,15821056.26,9585536.26,73176459.59,2060827.38,99847.54,7812530.14,347587047.56,234086.92,,2180630.66,,345640503.82,51978041.0,,293662462.82,293662462.82,281370613.79,12291849.03,223072831.04,0.65,0.65,447708.48,438575.23,294110171.3,281809189.02,12300982.28
2023-03-31,832651815.62,832651815.62,648723090.34,473376521.39,4681966.73,139325814.68,24124810.78,17029168.21,-9815191.45,4578841.34,14578869.46,5872083.61,16730347.51,8856374.05,58489630.33,291392.4,-2541054.26,2724400.44,228855644.72,44236.54,,914273.61,,227985607.65,38505745.08,,189479862.57,189479862.57,187605800.02,1874062.55,142326443.1,0.44,0.44,-278511.78,-272830.14,189201350.79,187332969.88,1868380.91
2022-12-31,3532379037.45,3532379037.45,2977881193.74,2034199789.39,26051574.15,780742782.75,105312541.93,77891281.84,-46316776.32,11687925.01,58562810.03,4320911.13,15551208.38,-38062710.65,40361445.6,9165747.63,53656.2,18560154.38,555538269.73,5860699.07,,2263805.94,,559135162.86,79784044.28,,479351118.58,479351118.58,478571950.1,779168.48,461708600.22,1.11,1.11,1203548.82,1178996.42,480554667.4,479750946.52,803720.88
