报告期,销售商品、提供劳务收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,加：期初现金及现金等价物余额,期末现金及现金等价物余额
2025-03-31,843946889.27,7620585.55,57547169.89,909114644.71,378771402.77,117038885.72,71708377.92,188262988.71,755781655.12,153332989.59,357247041.34,,548.67,,,357247590.01,46777526.96,1632440413.24,,,1679217940.2,-1321970350.19,,,,,,,19900000.0,648812.21,450000.0,11109488.57,31658300.78,-31658300.78,-57177.61,-1200352838.99,2741920658.88,1541567819.89
2024-12-31,3706062388.16,528111.44,75331676.12,3781922175.72,1770659327.88,414028139.16,328958547.07,770667430.84,3284313444.95,497608730.77,1883506997.62,,924847.02,,,1884431844.64,203850566.64,1944230000.0,,,2148080566.64,-263648722.0,,,44600000.0,,,44600000.0,60599991.0,186742021.76,9461227.27,72583937.83,319925950.59,-275325950.59,237182.84,-41128758.98,2783049417.86,2741920658.88
2024-09-30,2746918235.82,100889.75,7918604.06,2754937729.63,1317788646.47,330017447.21,229451032.64,560394153.49,2437651279.81,317286449.82,936839425.64,,-1006.64,,,936838419.0,164125849.1,1579380000.0,,,1743505849.1,-806667430.1,,,43600000.0,,,43600000.0,56789991.0,186252690.85,14003182.27,22244747.39,265287429.24,-221687429.24,-1335.82,-711069745.34,2783049417.86,2071979672.52
2024-06-30,1817880082.4,100889.75,12051241.01,1830032213.16,825951837.6,244941781.2,177926795.86,356043112.37,1604863527.03,225168686.13,386499302.12,,-3251.77,,,386496050.35,92140649.73,1058680000.0,,,1150820649.73,-764324599.38,,,30600000.0,,,30600000.0,40689991.0,13135008.66,9461227.27,14619011.76,68444011.42,-37844011.42,1947.94,-576997976.73,2783049417.86,2206051441.13
2024-03-31,876235242.39,,11329631.3,887564873.69,440468274.32,116460987.1,99028895.73,172141691.65,828099848.8,59465024.89,124135042.42,214716.97,50.0,,,124349809.39,53139850.44,700380000.0,,,753519850.44,-629170041.05,,,11000000.0,,,11000000.0,10110000.0,2079050.69,,9332138.65,21521189.34,-10521189.34,99.51,-580226105.99,2783049417.86,2202823311.87
2023-12-31,3351422998.25,520366.83,208277048.48,3560220413.56,1605029513.05,422924162.88,324395958.73,603805337.6,2956154972.26,604065441.3,2706947498.61,17677498.48,3613695.01,,,2728238692.1,248364072.52,2031040000.0,,563400.0,2279967472.52,448271219.58,13933000.0,13933000.0,58599991.0,,,72532991.0,391110000.0,168313022.99,5601515.15,92274759.22,651697782.21,-579164791.21,256089.48,473427959.15,2309621458.71,2783049417.86
2023-09-30,2252491877.34,,52187388.05,2304679265.39,1217397718.15,324659384.9,248502760.35,437659367.67,2228219231.07,76460034.32,1801347419.8,12962941.31,4046284.94,12050000.0,,1830406646.05,114988353.87,2053872403.0,,,2168860756.87,-338454110.82,11483000.0,11483000.0,48799991.0,,,60282991.0,91110000.0,165702841.85,5151515.15,20662890.89,277475732.74,-217192741.74,-34253.89,-479221072.13,2309621458.71,1830400386.58
2023-06-30,1530355976.63,,46018519.33,1576374495.96,858901054.1,231539195.15,195533602.95,325047009.17,1611020861.37,-34646365.41,1353109029.48,12962941.31,1000598.75,12050000.0,,1379122569.54,78362005.29,1645140000.0,,,1723502005.29,-344379435.75,11483000.0,11483000.0,32799991.0,,,44282991.0,58100000.0,11266711.18,5151515.15,15092542.05,84459253.23,-40176262.23,8661.59,-419193401.8,2309621458.71,1890428056.91
2023-03-31,744733760.68,,38951674.36,783685435.04,413063089.67,125824378.42,143855602.1,191670566.63,874413636.82,-90728201.78,1052362341.87,8603200.0,728677.0,,,1061694218.87,44466310.88,1170140000.0,,,1214606310.88,-152912092.01,1483000.0,1483000.0,22799991.0,,,24282991.0,48100000.0,2849305.55,,5251234.19,56200539.74,-31917548.74,-54014.43,-275611856.96,2309621458.71,2034009601.75
2022-12-31,3343724315.9,,57073118.46,3400797434.36,1704111307.42,424710047.76,308235590.42,621887652.1,3058944597.7,341852836.66,3047354468.78,29918516.61,462330.26,,,3077735315.65,75011014.9,3621484558.19,,,3696495573.09,-618760257.44,517000.0,517000.0,488310000.0,,,488827000.0,88210000.0,183182245.8,18139552.22,39257313.74,310649559.54,178177440.46,1242132.66,-97487847.66,2407109306.37,2309621458.71
2022-09-30,2926703844.24,1575575.59,34191022.93,2962470442.76,1672987390.99,312475201.91,225089775.51,495781276.49,2706333644.9,256136797.86,1606310168.78,20875840.0,6141723.0,,,1633327731.78,41825305.34,2446138576.46,,,2487963881.8,-854636150.02,517000.0,517000.0,488300000.0,,,488817000.0,88200000.0,178499499.51,17887345.45,30195696.09,296895195.6,191921804.4,209507.66,-406368040.1,2407109306.37,2000741266.27
2022-06-30,1780463736.61,1045544.84,22785561.72,1804294843.17,1161127973.66,209973745.16,203631702.0,318764065.69,1893497486.51,-89202643.34,1022230669.22,20875840.0,91760.4,,,1043198269.62,27453820.08,1007589377.06,,,1035043197.14,8155072.48,517000.0,517000.0,20200000.0,,,20717000.0,70200000.0,25685200.11,17311345.45,11907768.11,107792968.22,-87075968.22,90686.48,-168032852.6,2407109306.37,2239076453.77
2022-03-31,717978704.55,,25502189.16,743480893.71,441711036.99,124726263.13,156514400.27,157848894.96,880800595.35,-137319701.64,527642437.07,,24425.13,,,527666862.2,17058905.78,954000215.47,,,971059121.25,-443392259.05,,,200000.0,,,200000.0,,10068721.73,2287800.0,6267073.58,16335795.31,-16135795.31,-15898.41,-596863654.41,2407109306.37,1810245651.96
2021-12-31,3398690594.27,408391.74,148436436.78,3547535422.79,1671355916.24,373397734.58,289328268.03,616282455.02,2950364373.87,597171048.92,3374329968.54,34066401.1,580079.85,3998760.7,,3412975210.19,65098281.5,3410923939.63,,,3476022221.13,-63047010.94,38500000.0,38500000.0,78000000.0,,,116500000.0,123000000.0,130338221.57,5841730.77,32806250.54,286144472.11,-169644472.11,-604257.99,363875307.88,2043233998.49,2407109306.37
2021-09-30,2842850074.01,,92837604.73,2935687678.74,1570107096.07,268221995.59,238452274.48,670330173.23,2747111539.37,188576139.37,1424467125.91,29192710.0,103578.7,2398760.7,,1456162175.31,42537912.37,2064839359.22,,,2107377271.59,-651215096.28,38500000.0,38500000.0,88000000.0,,,126500000.0,130000000.0,130424869.18,5769230.77,9385834.96,269810704.14,-143310704.14,-20704.65,-605970365.7,2043233998.49,1437263632.79
2021-06-30,1655163324.01,,96821504.69,1751984828.7,1014183351.85,174458252.77,203630143.68,459110324.92,1851382073.22,-99397244.52,1310912733.68,29000000.0,49687.34,2398760.7,,1342361181.72,32245248.83,1331913014.16,,,1364158262.99,-21797081.27,38400000.0,38400000.0,70000000.0,,,108400000.0,121000000.0,7743021.3,5841730.77,8868240.41,137611261.71,-29211261.71,-23069.61,-150428657.11,2043233998.49,1892805341.38
2021-03-31,751530828.28,,27578137.41,779108965.69,512342113.08,121861936.17,141415999.67,123487461.18,899107510.1,-119998544.41,476569096.8,29000000.0,575.0,,,505569671.8,24245414.3,1176996374.53,,,1201241788.83,-695672117.03,5000000.0,5000000.0,,,,5000000.0,,7820318.51,5769230.77,,7820318.51,-2820318.51,8542.4,-818482437.55,2043233998.49,1224751560.94
2020-12-31,2728062380.83,,105192147.61,2833254528.44,1330808030.29,316680805.23,212164946.3,690612377.2,2550266159.02,282988369.42,3301439423.17,3008554.98,3505907.01,10997092.84,1348476.56,3320299454.56,45409946.2,2981090206.12,23895324.48,,3050395476.8,269903977.76,3100000.0,3100000.0,135000000.0,,20000000.0,158100000.0,50144246.0,119675958.05,4071153.84,,169820204.05,-11720204.05,-962226.37,540209916.76,1503024081.73,2043233998.49
2020-09-30,2063297303.35,,49271646.09,2112568949.44,988664849.78,219644171.73,200769599.45,375481759.47,1784560380.43,328008569.01,1436112653.35,2511707.58,759679.99,10997092.84,,1450381133.76,25564201.29,1705478776.51,-1486275.52,,1729556702.28,-279175568.52,3100000.0,3100000.0,132000000.0,,10000000.0,145100000.0,25500000.0,112530698.02,4071153.84,,138030698.02,7069301.98,-43034.27,55859268.2,1503024081.73,1558883349.93
