A股股东人数,B股股东人数,变动比率,股东人数,H股股东人数,户均持股金额,户均流通股,户均持股变动比率,股价,报告日期,十大流通股东持股合计,十大股东持股合计
40455,,11.9,40455,,259747.80202002224,10636.68312940304,-10.63,24.42,2025-03-31,47.2354,47.24
36153,,6.25,36153,,310771.33813957346,11902.387519707909,-5.88,26.11,2024-12-31,47.9482,47.96
34027,,15.79,34027,,344984.14190143126,12646.046257383843,-13.64,27.28,2024-09-30,49.3113,49.3
29387,,-25.09,29387,,384747.50840880664,14642.767754449247,33.5,26.2756,2024-06-30,47.2157,47.21
39231,,4.15,39231,,239900.74078782595,10968.5456909077,-3.99,21.8717,2024-03-31,45.1163,45.1
37666,,-10.55,37666,,272153.8219603462,11424.282270482663,11.79,23.8224,2023-12-31,45.0315,45.019999999999996
42108,,20.41,42108,,232067.18573776004,10219.127386719863,-16.95,22.7091,2023-09-30,44.6057,44.61
34971,,-0.01,34971,,332606.6145890709,12304.681478939692,0.01,27.0309,2023-06-30,44.7157,44.72
34973,,-16.7,34973,,325292.5653792354,12303.977811454552,20.05,26.438,2023-03-31,43.3494,43.35
41986,,-11.58,41986,,225134.83517768778,10248.821416662697,13.09,21.9669,2022-12-31,44.085499999999996,44.089999999999996
47484,,-5.95,47484,,180393.8285022492,9062.147586555471,6.33,19.9063,2022-09-30,44.7307,44.74
50490,,-8.02,50490,,189984.51058167557,8522.618657159834,8.72,22.2918,2022-06-30,46.794399999999996,46.79
54895,,5.54,54895,,171139.8298118517,7838.728773112305,-5.25,21.8326,2022-03-31,44.8133,44.81
52014,,9.94,52014,,183547.6917980851,8272.907601799516,-9.04,22.1866,2022-02-28,,
47311,,4.78,47311,,250262.21659761155,9095.284732937373,-4.56,27.5156,2021-12-31,44.178599999999996,44.17
45152,,-9.99,45152,,233051.19970907157,9530.187278525867,11.1,24.454,2021-09-30,46.6565,46.66
50164,,-8.17,50164,,234561.24310286262,8578.00446535364,8.9,27.3445,2021-06-30,44.1307,44.14
54627,,2.73,54627,,138651.06948625404,7877.185567576473,-2.66,17.6016,2021-03-31,40.6595,40.66
53175,,10.56,53175,,143510.12098067137,8092.280507757405,-9.56,17.7342,2021-02-28,,
48094,,-4.02,48094,,170616.09659224018,8947.207884559404,4.18,19.0692,2020-12-31,43.8848,43.89
50106,,,50106,,170188.80368569033,8587.93390013172,,19.8172,2020-09-30,42.4419,42.45
