报告期,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,应收利息,应收股利,其他应收款,存货,合同资产,划分为持有待售的资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,短期借款,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,划分为持有待售的负债,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款合计,长期应付款,专项应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),其他权益工具,其中：优先股,永续债,资本公积,减：库存股,其他综合收益,专项储备,盈余公积,未分配利润,一般风险准备,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,股东权益合计,负债和股东权益总计
2025-03-31,1749338839.74,1166475169.69,397747084.14,140352176.7,257394907.44,46921171.22,,,,270730642.59,,,,22023072.59,3971229689.03,,,,133485313.56,,20390332.41,,603896206.46,,,74852875.19,,,,,91551379.89,115078832.62,25262815.99,5357659.22,55142589.27,257375507.72,1476396238.69,5447625927.72,12000000.0,,,350151356.8,162526983.83,187624372.97,1675403.24,108977577.31,25179704.94,124014283.16,,1969483.4,,,122349939.47,28762914.13,863128369.65,,,0.0,,,,22434559.51,50851158.3,23356756.05,173708642.7,1036837012.35,431053891.0,,,,23533106.88,,2908974.32,,295292646.33,3516697214.16,,,4269485832.69,141303082.68,4410788915.37,5447625927.72
2024-12-31,3015295421.46,142136459.87,287840773.29,27874703.21,259966070.08,38703543.99,,,,277627289.27,,,,33895658.45,3975147650.82,,,,133562331.84,,15390332.41,,312516354.17,,,357600273.62,,,,,93086043.1,107015577.19,25262815.99,6389160.52,50594189.57,4596916.3,1206789078.95,5181936729.77,31800000.0,,,337660077.03,142031588.24,195628488.79,1804353.94,86842689.26,35224977.73,85649821.08,,1969483.4,,,126215599.82,29431018.34,804356681.07,,,0.0,,,,23497699.98,54558820.48,22044851.27,176302457.53,980659138.6,431053891.0,,,,23533106.88,,2957208.3,,295292646.33,3313125074.1,,,4065961926.61,135315664.56,4201277591.17,5181936729.77
2024-09-30,2329202605.88,684571685.51,382333197.66,71788230.51,310544967.15,65901681.38,,,,316058836.22,,150000.0,,31990372.8,3988396848.44,,,,137809557.03,,13417123.83,,292042638.13,,,299616998.34,,,,,87474879.51,97444812.5,25262815.99,6660033.84,47026386.51,21233042.61,1136362420.42,5124759268.86,32800000.0,,,371481730.92,181629912.65,189851818.27,,68367278.41,22021073.55,118031592.8,,1974116.6,,,131672867.32,20538967.19,834840659.07,,,0.0,,,,26368582.89,28725150.22,23757556.27,159466738.5,994307397.57,431053891.0,,,,29231350.09,,2592647.65,,295292646.33,3242535436.87,,,4000705971.94,129745899.35,4130451871.29,5124759268.86
2024-06-30,2440867493.4,705407357.49,357090375.7,93948038.03,263142337.67,67354549.65,,,70629685.21,291913007.39,,150000.0,,37836070.0,4096085481.84,,,,137708959.35,,13655523.83,,296841763.02,296841763.02,,252323959.16,252323959.16,,,,87844868.5,83345370.01,25262815.99,7694674.7,54854874.75,22922120.77,1097245927.8,5193331409.64,35800000.0,,,362111727.78,151401238.64,210710489.14,,85828918.89,23486881.28,102778996.53,,178692585.2,104301959.72,,24169837.45,20264882.99,937435789.84,109700000.0,,0.0,,,,26110876.32,30796737.85,23369779.52,273893809.08,1211329598.92,431053891.0,,,,29130335.9,,2757060.85,,295292646.33,3096943227.65,,,3855177161.73,126824648.99,3982001810.72,5193331409.64
2024-03-31,2414952264.36,615123000.56,313713752.07,81601453.93,232112298.14,63613119.77,,,,291254529.39,,150000.0,,32540813.54,3944094091.5,,,,136424887.11,,17779776.34,,302212545.22,,,221564454.39,,,,,88067716.4,78522869.38,25262815.99,9292099.62,48588864.15,19614669.58,1068074004.41,5012168095.91,46800000.0,,,276340826.4,49031604.17,227309222.23,,131518756.38,18895818.32,101571733.33,,4545455.0,,,33362738.37,18058864.62,704920221.96,99900000.0,,0.0,,,,27335006.26,26028373.7,21597424.63,263809606.28,968729828.24,431053891.0,,,,28863483.82,,2664512.38,,295292646.33,3155118666.4,,,3912993199.93,130445067.75,4043438267.67,5012168095.91
2023-12-31,2988095949.91,63285256.5,280163286.12,33790475.63,246372810.49,53391105.75,,,25370664.04,273477215.97,,150000.0,,33140420.52,3771578488.87,,,,135047958.09,,17779776.34,,303429531.5,303429531.5,,205735036.23,205735036.23,,,,90112817.23,71661107.94,25262815.99,10634872.69,49458702.96,22458830.83,1057945133.6,4829523622.47,45800000.0,,,289686224.11,79672508.59,210013715.52,,91857147.53,23717574.55,96390526.15,,1726761.02,78760786.63,,32907335.43,20225045.2,681071400.62,100000000.0,,0.0,,,,28610328.08,27891002.72,28458616.05,278546583.75,959617984.37,431053891.0,,,,51509381.0,,2659530.16,,295292646.33,2957452771.02,,,3737968219.51,131937418.59,3869905638.1,4829523622.47
2023-09-30,2000276115.34,854554888.98,559909243.35,54108454.2,505800789.15,77169871.63,,,,282296489.47,,,,223456081.11,4120693839.39,,,,133065050.72,,17618571.42,,299890804.41,,,103170378.69,,,,,32449864.47,59898782.35,25262815.99,12658679.0,53289738.05,12974619.3,889670593.44,5010364432.83,36000000.0,,,209680905.49,39448622.96,170232282.53,,78592952.64,6727978.09,139347682.21,,1726761.02,,,35007079.3,14142680.98,565375110.18,400000000.0,,0.0,,,,31720387.52,25751007.25,29080793.1,600648944.53,1166024054.71,431053891.0,,,,56061905.63,,2833829.81,,295292646.33,2933332590.51,,,3718574863.28,125765514.84,3844340378.12,5010364432.83
2023-06-30,2075235406.95,901826449.95,466020663.42,44995421.03,421025242.39,75136180.07,,,59586962.21,343073874.17,,,,221380331.67,4236886608.42,,,,135568951.01,,17618571.42,,304600470.55,304600470.55,,75577800.45,75577800.45,,,,34084749.61,54774894.28,25262815.99,14773871.71,51521466.83,14114612.5,871255817.21,5108142425.63,53000000.0,,,289182815.52,114600199.34,174582616.18,,59818747.4,7302135.81,105404627.85,,152378147.92,69060729.22,,32954387.58,19045904.34,788147495.64,400000000.0,,0.0,,,,32382836.94,26164703.83,29211166.81,604020184.23,1392167679.87,431053891.0,,,,62203578.72,,2900280.61,,295292646.33,2796321861.49,,,3587772258.15,128202487.61,3715974745.76,5108142425.63
2023-03-31,2208992547.76,798131372.26,435483746.82,82148404.22,353335342.6,70977988.44,,,,343008804.07,,19341947.47,,144956086.82,4185364816.91,,,,134146787.74,,17618571.42,,309592298.25,,,52305762.75,,,,,35574288.04,49866502.79,25262815.99,16665554.07,53806374.47,12609594.87,858652085.73,5044016902.64,53000000.0,,,286007850.87,123509219.64,162498631.23,,83273413.04,8890645.33,92781651.19,,1509286.07,,3855949.81,27563759.94,19985359.7,666079458.4,409799991.0,,0.0,,,,35448966.58,26783400.41,28626949.11,620571237.03,1286650695.43,431053891.0,,,,62339578.62,,2188875.24,,295292646.33,2853425909.57,,,3644300900.76,113065306.45,3757366207.21,5044016902.64
2022-12-31,2493582129.26,674348716.39,319942755.37,72476522.23,247466233.14,68442803.08,,8603200.0,28555588.95,336201074.23,,43657981.44,,162708424.81,4225743827.14,,,,133855395.34,,17618571.42,,331186234.6,331186234.6,,25714100.86,25714100.86,,,,37278306.97,42918055.67,25262815.99,23602586.53,58355153.68,8144241.12,862378367.76,5088122194.9,88100000.0,,,284737211.17,133263841.76,151473369.41,,102750948.16,30456431.67,160685779.25,,1509286.07,142987484.84,,28131258.96,18780345.26,858138745.38,400000000.0,,0.0,,,,35368662.28,26950135.51,29539974.03,613858525.84,1471997271.22,431053891.0,,,,100741109.86,,2461705.38,,295292646.33,2665070697.55,,,3494620050.12,121504873.56,3616124923.68,5088122194.9
