报告期,方案,股权登记日,除权除息日,派息日
2024年报,10派7.2元(实施方案),2025-05-21,2025-05-22,
2023年报,10派6.0元(实施方案),2024-04-25,2024-04-26,
2022年报,10派6.15元(实施方案),2023-05-09,2023-05-10,
2021年报,10派5元(实施方案),2022-05-19,2022-05-20,
2020年报,10派9.80元(实施方案),2021-04-28,2021-04-29,
2019年报,10派1.78元(实施方案),2020-07-07,2020-07-08,
2018年报,10派1.78元(实施方案),2019-06-12,2019-06-13,
2017年报,10派1.78元(实施方案),2018-05-23,2018-05-24,
2016年报,10派1.78元(实施方案),2017-05-04,2017-05-05,
2015年报,10派1.60元(实施方案),2016-06-23,2016-06-24,
2015中报,10转10股(实施方案),2015-10-09,2015-10-12,
2014年报,10派2.5元(实施方案),2015-05-26,2015-05-27,
2013年报,10派2.75元(实施方案),2014-06-27,2014-06-30,
2012年报,10派2.5元(实施方案),2013-05-29,2013-05-30,
2011年报,10派2.50元(实施方案),2012-05-21,2012-05-22,
2010年报,10派2元(实施方案),2011-06-02,2011-06-03,
