报告期,销售商品、提供劳务收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,加：期初现金及现金等价物余额,期末现金及现金等价物余额
2025-03-31,1636198719.26,66362097.93,63619415.08,1766180232.27,923522704.55,269313546.21,135716362.85,251109103.39,1579661717.0,186518515.27,988000000.0,3714756.89,154273.58,,,991869030.47,56551204.96,1618000000.0,,,1674551204.96,-682682174.49,1939000.0,1939000.0,,,,1939000.0,,,,,,1939000.0,-269856.3,-494494515.52,3258644388.95,2764149873.43
2024-12-31,7397561491.39,92265711.27,234085737.73,7723912940.39,3820302835.53,1091859631.61,530667461.73,1026905826.58,6469735755.45,1254177184.94,250000000.0,2090541.72,63303.45,,12399822.36,264553667.53,167351679.09,490000000.0,,,657351679.09,-392798011.56,9261750.0,,,,,9261750.0,,499350600.0,,5958600.0,505309200.0,-496047450.0,1165560.89,366497284.27,2892147104.68,3258644388.95
2024-09-30,4853236418.16,90223911.41,168405617.78,5111865947.35,2648073889.34,844076564.98,346918988.39,699055771.08,4538125213.79,573740733.56,232000000.0,1302171.23,45437.45,,11983132.36,245330741.04,126064854.39,232000000.0,,,358064854.39,-112734113.35,9261750.0,,,,,9261750.0,,499350600.0,,3803850.0,503154450.0,-493892700.0,-623798.54,-33509878.33,2892147104.68,2858637226.35
2024-06-30,2938246265.96,64545393.27,118282685.8,3121074345.03,1772583483.09,601651522.61,247504794.24,438744465.6,3060484265.54,60590079.49,223000000.0,1261149.3,26314.9,,11983132.36,236270596.56,55337610.48,226000000.0,,,281337610.48,-45067013.92,,,,,,,,499350600.0,,3174750.0,502525350.0,-502525350.0,396467.91,-486605816.52,2892147104.68,2405541288.16
2024-03-31,1330171156.53,39983370.83,37071017.33,1407225544.69,780619700.1,226973044.22,121286906.0,192975580.71,1321855231.03,85370313.66,70000000.0,160095.89,9200.9,,,70169296.79,16737427.36,223000000.0,,,239737427.36,-169568130.57,,,,,,,,,,,,,309509.45,-83888307.46,2892147104.68,2808258797.22
2023-12-31,6750847001.91,114958107.04,153148696.58,7018953805.53,3438281119.22,953175044.82,484749049.98,910080020.23,5786285234.25,1232668571.28,275000000.0,3635156.54,333379.49,,,278968536.03,127828573.9,275000000.0,,,402828573.9,-123860037.87,144809610.0,,,,1030261.44,145839871.44,,500100780.0,,4980000.0,505080780.0,-359240908.56,307371.06,749874995.91,2142272108.77,2892147104.68
2023-09-30,4324522163.49,85224103.4,142208047.2,4551954314.09,2470319737.12,730959990.98,348772471.22,620758132.32,4170810331.64,381143982.45,209000000.0,2645567.12,287209.59,,,211932776.71,92547921.11,272000000.0,,,364547921.11,-152615144.4,,,,,,,,500100780.0,,1804375.0,501905155.0,-501905155.0,965749.04,-272410567.91,2142272108.77,1869861540.86
2023-06-30,2663750627.97,55860089.58,86797887.31,2806408604.86,1631966568.66,513267507.7,230275995.4,386398845.16,2761908916.92,44499687.94,156000000.0,1848008.22,261239.6,,,158109247.82,45282150.45,209000000.0,,,254282150.45,-96172902.63,,,,,,,,500100780.0,,1804375.0,501905155.0,-501905155.0,1312382.87,-552265986.82,2142272108.77,1590006121.95
2023-03-31,1196953627.49,25883211.74,36806464.18,1259643303.41,861607776.72,197294226.08,108836373.49,154405653.0,1322144029.29,-62500725.88,,,23822.2,,,23822.2,18588812.9,203000000.0,,,221588812.9,-221564990.7,,,,,,,,,,,,,-116648.13,-284182364.71,2142272108.77,1858089744.06
2022-12-31,5436028299.19,102713840.11,287338656.72,5826080796.02,2888141567.22,833651771.59,464316553.09,930038070.43,5116147962.33,709932833.69,77895461.15,771847.35,119924.0,,719285.72,79506518.22,75247276.95,108062775.0,,,183310051.95,-103803533.73,,,,,,,,406586000.0,,6880000.0,413466000.0,-413466000.0,2202629.07,194865929.03,1947406179.74,2142272108.77
