A股股东人数,B股股东人数,变动比率,股东人数,H股股东人数,户均持股金额,户均流通股,户均持股变动比率,股价,报告日期,十大流通股东持股合计,十大股东持股合计
41789,,-3.54,41789,,319103.89108377806,19594.958003302305,3.67,16.285,2025-03-31,55.222,55.21
43322,,12.87,43322,,289343.3025767508,18901.567332994782,-11.4,15.3079,2025-02-28,,
38383,,32.04,38383,,346603.1943253524,21333.759737383738,-23.74,16.2467,2024-12-31,56.8104,56.81
29069,,-11.73,29069,,535948.2964945474,27973.855309780178,13.29,19.1589,2024-09-30,56.691399999999994,56.69
32932,,-7.23,32932,,454630.1139438843,24692.457184501396,7.79,18.4117,2024-06-30,56.2513,56.26
35497,,-3.68,35497,,335346.11252781923,22908.189424458404,3.82,14.6387,2024-03-31,57.4493,57.449999999999996
36852,,-9.86,36852,,294369.94100727234,22065.885162270704,10.93,13.3405,2024-02-29,,
40881,,6.42,40881,,259315.5600988234,19891.1963993053,-6.03,13.0367,2023-12-31,56.0204,56.019999999999996
38414,,-17.7,38414,,305787.3038892071,21168.63643463321,21.5,14.4453,2023-09-30,58.3268,58.32
46673,,-21.17,46673,,243657.1555288925,17422.749769674116,26.86,13.985,2023-06-30,56.6845,56.68
59208,,5.95,59208,,175333.0020672882,13734.15754627753,-5.62,12.7662,2023-03-31,55.9215,55.92
55882,,-5.87,55882,,196009.92877849756,14551.59085215275,6.23,13.47,2023-02-28,,
59366,,-11.7,59366,,175949.8415187144,13697.604689552943,13.26,12.8453,2022-12-31,55.811,55.800000000000004
67235,,7.99,67235,,134714.30537666395,12094.474604000892,-7.4,11.1385,2022-09-30,55.3704,55.36
62262,,-1.94,62262,,186266.04396903407,13060.486331952074,1.97,14.2618,2022-06-30,54.9308,54.92
63491,,-2.32,63491,,140000.67934037893,12807.673528531603,2.38,10.931,2022-03-31,60.0873,60.07
64999,,12.32,64999,,174327.99326143478,12510.530931245095,-10.97,13.9345,2022-02-28,,
57868,,7.14,57868,,248479.21488905788,14052.187737609733,-6.66,17.6826,2021-12-31,62.122,62.11
54013,,95.28,54013,,232968.89261474088,15055.116360876085,-48.79,15.4744,2021-09-30,58.3204,58.3
27659,,-28.31,27659,,222621.96819841643,29399.905998047652,39.5,7.5722,2021-06-30,63.3191,63.3065
38583,,,38583,,129073.11412798382,21075.914262758208,,6.1242,2021-03-31,63.1701,63.1665
