报告期,方案,股权登记日,除权除息日,派息日
2025三季报,不超过相应期间归属于上市公司股东的净利润(股东大会预案),,,
2025中报,不超过相应期间归属于上市公司股东的净利润(股东大会预案),,,
2024年报,10派1.5元(股东大会预案),,,
2024三季报,10派0.83元(实施方案),2025-01-09,2025-01-10,
2024中报,10派1.86元(实施方案),2024-10-23,2024-10-24,
2023年报,10派2.96元(实施方案),2024-06-12,2024-06-13,
2022年报,10派1.4元(实施方案),2023-06-19,2023-06-20,
2021年报,10派1元(实施方案),2022-06-28,2022-06-29,
2020年报,10派1元(实施方案),2021-06-15,2021-06-16,
2019年报,10派0.60元(实施方案),2020-06-18,2020-06-19,
2018年报,10派0.48元(实施方案),2019-06-26,2019-06-27,
2017年报,10派0.2元(实施方案),2018-06-13,2018-06-14,
2016年报,10派1元(实施方案),2017-07-05,2017-07-06,
2015年报,10派1元(实施方案),2016-06-23,2016-06-24,
2014年报,10派1.00元(实施方案),2015-07-14,2015-07-15,
2013年报,10送3股转2股派1元(实施方案),2014-06-16,2014-06-17,
2012年报,10送3股派1元(实施方案),2013-05-13,2013-05-14,
2011年报,10派1元(实施方案),2012-06-14,2012-06-15,
2010年报,10派1元(实施方案),2011-07-07,2011-07-08,
2007年报,10派1元(实施方案),2008-07-10,2008-07-11,
