报告期,营业总收入,其中：营业收入,营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：对联营企业和合营企业的投资收益,资产处置收益,其他收益,营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,利润总额,减：所得税费用,净利润差额(合计平衡项目),净利润,（一）持续经营净利润,归属于母公司股东的净利润,少数股东损益,扣除非经常性损益后的净利润,基本每股收益,稀释每股收益,其他综合收益,归属母公司所有者的其他综合收益,综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2025-03-31,2348151832.86,2348151832.86,2114398659.1499999,1797057288.64,10518453.15,111928585.46,109484336.74,98460302.48,-13050307.32,2664594.65,-15904225.34,-7095.04,469025.0,,395751.84,,51726.72,30369778.37,264108500.68,3794886.58,,237884.47,,267665502.79,31342984.59,,236322518.2,236322518.2,207580192.56,28742325.64,203580368.02,0.2054,0.2047,,,236322518.2,207580192.56,28742325.64
2024-12-31,17089133346.79,17089133346.79,15767193852.42,13539026478.09,84444825.03,720403022.83,597103595.39,880891968.89,-54676037.81,8580865.16,69772510.21,59439079.95,141240988.81,,28823442.09,9057886.5,964015.34,240586273.67,1391633156.71,28287601.08,,6243246.62,,1413677511.17,121500007.55,,1292177503.62,1292177503.62,1116925147.02,175252356.6,1061890917.4,1.1018,1.1018,473265.96,473265.96,1292650769.58,1117398412.98,175252356.6
2024-09-30,9586051242.34,9586051242.34,8618112662.119999,7482769824.97,44082605.18,367877400.68,321575978.95,445436417.58,-43629565.24,6043218.4,52367664.95,26304632.2,17634806.25,,6679765.59,4034004.07,632591.02,174781123.6,1106092621.98,20646035.32,,3932041.41,,1122806615.89,100199595.71,,1022607020.18,1022607020.18,894693268.75,127913751.43,864423710.54,0.8842,0.8827,494841.86,494841.86,1023101862.04,895188110.61,127913751.43
2024-06-30,6835568793.06,6835568793.06,6092214126.49,5406703415.2,28136400.39,220284761.12,202203590.39,263590344.83,-28704385.44,3727490.77,35127465.74,26304632.2,17192606.25,,4393252.1,4034004.07,42531.83,78632272.45,782925484.5,10760382.25,,2495151.97,,791190714.78,68269917.38,,722920797.4,722920797.4,627858221.25,95062576.15,611214091.4,0.6195,0.6195,52046.42,52046.42,722972843.82,627910267.67,95062576.15
2024-03-31,2809529576.01,2809529576.01,2561629169.45,2296227127.91,11696101.34,66336930.89,117826030.96,84250282.22,-14707303.87,1804609.23,-17506315.44,,-664400.0,,226186.31,,14687.9,46622996.67,295428677.44,7136518.83,,226660.71,,302338535.56,38792037.62,,263546497.94,263546497.94,237156160.87,26390337.07,226092356.59,0.2352,0.2346,-194528.16,-194528.16,263351969.78,236961632.71,26390337.07
2023-12-31,17060896563.04,17060896563.04,15924095279.45,13990345488.0,80171342.36,491617653.61,604415951.76,812950652.23,-55405808.51,3522885.22,65065982.52,17264352.74,86576741.32,,54901130.92,1068629.41,2354083.03,126925850.67,1217141254.15,21385450.86,,3262103.37,,1235264601.64,49246683.31,,1186017918.33,1186017918.33,1005384610.79,180633307.54,869065456.59,0.9971,0.996,-230093.59,-230093.59,1185787824.74,1005154517.2,180633307.54
2023-09-30,10829982223.34,10829982223.34,9804993305.880001,8759915656.14,45284430.87,256650385.84,291153766.04,504043914.77,-52054847.78,3019075.87,58312768.96,8462572.97,59252699.77,,28845072.59,-386038.98,1935576.01,76820052.63,1064874345.95,16556173.17,,2335598.72,,1079094920.4,134865881.3,,944229039.1,944229039.1,810337039.85,133891999.25,719025360.01,0.8036,0.8036,-169841.92,-169841.92,944059197.18,810167197.93,133891999.25
2023-06-30,7203037896.77,7203037896.77,6459766747.28,5831577476.53,28392353.46,154548584.42,177123912.66,300529615.4,-32405195.19,2781190.07,37524885.36,8462572.97,49982758.76,,-177271.41,-386038.98,1299715.33,56806478.28,742754739.96,8709385.35,,2525082.01,,748939043.3,82587154.37,,666351888.93,666351888.93,568993076.76,97358812.17,527405160.97,0.5643,0.5643,-194901.16,-194901.16,666156987.77,568798175.6,97358812.17
2023-03-31,3308766910.14,3308766910.14,3101873803.26,2857447158.94,11028380.43,63087885.19,94790029.85,90516692.8,-14996343.95,2381743.26,18252419.51,,-645614.53,,-67720.8,,44957.39,18703634.89,226219592.89,2750099.08,,169477.13,,228800214.84,39061853.8,,189738361.04,189738361.04,160905037.71,28833323.33,143928296.79,0.1596,0.1596,-65800.25,-65800.25,189672560.79,160839237.46,28833323.33
2022-12-31,15029743118.34,15029743118.34,13935383111.050001,12121669333.52,102730231.21,432164548.53,549197013.07,745776741.84,-16154757.12,30639200.88,50688926.6,5126089.47,72159216.07,,-3635120.36,-5748608.31,1016720.2,76307281.72,1090763583.31,27485190.23,,5640132.87,,1112608640.67,117206502.39,,995402138.28,995402138.28,785264078.19,210138060.09,712939702.87,0.7788,0.7788,-1648380.02,-1648380.02,993753758.26,783615698.17,210138060.09
2022-09-30,9115767552.72,9115767552.72,8208955861.24,7215820181.04,49188239.83,235139683.86,269706610.79,446221629.22,-7120483.5,21847710.19,30518559.4,-5633412.9,69496349.54,,1230659.21,18767.65,1023688.9,57463311.22,902666414.17,17528957.91,,2041240.25,,918154131.83,116922944.99,,801231186.84,801231186.84,648182455.86,153048730.98,623963275.39,0.6428,0.6428,-739866.36,-739866.36,800491320.48,647442589.5,153048730.98
2022-06-30,6129583494.94,6129583494.94,5474853683.83,4879750563.54,34450371.96,140215633.66,181759219.48,244392523.61,-5714628.42,14286650.9,21204886.23,-4517834.66,66108675.88,,163770.23,18232.73,1030162.35,32517903.12,626850805.59,15104206.51,,480926.89,,641474085.21,89977965.79,,551496119.42,551496119.42,454476944.78,97019174.64,437798684.35,0.4507,0.4507,-404873.04,-404873.04,551091246.38,454072071.74,97019174.64
