报告期,销售商品、提供劳务收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,加：期初现金及现金等价物余额,期末现金及现金等价物余额
2025-03-31,3513280828.34,60881255.12,111499599.89,3685661683.35,2577057346.54,345290819.84,125946076.69,474503944.74,3522798187.81,162863495.54,,,71600.0,,,71600.0,55181452.56,,,,55181452.56,-55109852.56,,,,,,,,85846567.34,,1268743.85,87115311.19,-87115311.19,280174.92,20918506.71,5500910727.18,5521829233.89
2024-12-31,15855232143.84,126652137.19,708033723.24,16689918004.27,10900088251.21,1569485032.14,751360536.38,2170072977.92,15391006797.65,1298911206.62,,723930.41,129293.0,,3469800.32,4323023.73,390063785.55,,,,390063785.55,-385740761.82,,,218430294.5,,18136900.0,236567194.5,,571309302.69,79840259.02,21261181.6,592570484.29,-356003289.79,2182.29,557169337.3,4943741389.88,5500910727.18
2024-09-30,10071021720.52,112437464.51,552120612.64,10735579797.67,7200886663.12,867136070.02,358229999.33,1513495654.68,9939748387.15,795831410.52,,723930.41,34703.76,,,758634.17,188290322.67,,,,188290322.67,-187531688.5,,,60000000.0,,,60000000.0,,305986755.46,4360000.0,11451718.13,317438473.59,-257438473.59,,350861248.43,4943741389.88,5294602638.31
2024-06-30,6449236551.86,65047257.29,328138358.21,6842422167.36,4743621421.98,580862678.75,227170854.89,958630914.23,6510285869.85,332136297.51,,723930.41,30203.76,,,754134.17,87112389.13,,,,87112389.13,-86358254.96,,,,,,,,301626755.46,,6054828.95,307681584.41,-307681584.41,,-61903541.86,4943741389.88,4881837848.02
2024-03-31,3270161127.55,42333469.8,144010678.69,3456505276.04,2322152344.3,318142148.09,144096626.37,411802579.72,3196193698.48,260311577.56,,,10200.0,,,10200.0,26745590.32,,,,26745590.32,-26735390.32,,,,,,,,,,1249704.51,1249704.51,-1249704.51,,232326482.73,4943741389.88,5176067872.61
2023-12-31,15404691568.2,156907627.67,960278395.27,16521877591.14,9577962648.23,1432052709.48,722971363.49,2040727015.43,13773713736.63,2748163854.51,,,2790859.89,,,2790859.89,212385594.15,329773389.24,,,542158983.39,-539368123.5,183649910.0,56000000.0,,,,183649910.0,300000000.0,276332058.26,80846235.0,465860916.61,1042192974.87,-858543064.87,,1350252666.14,3593488723.74,4943741389.88
2023-09-30,10491484905.8,145314611.64,539919980.66,11176719498.1,6881791948.79,808011416.72,480844141.04,1515499977.62,9686147484.17,1490572013.93,,,2099809.89,,,2099809.89,95353214.68,329773389.24,,,425126603.92,-423026794.03,183649910.0,56000000.0,,,,183649910.0,300000000.0,171478823.26,3993000.0,14896633.85,486375457.11,-302725547.11,,764819672.79,3593488723.74,4358308396.53
2023-06-30,6693275425.39,101950058.88,303674538.5,7098900022.77,4363339901.49,541957597.65,352928601.63,898415702.95,6156641803.72,942258219.05,,,177360.27,,,177360.27,59178307.63,,,,59178307.63,-59000947.36,56000000.0,,,,127666610.01,183666610.01,300000000.0,167485823.26,,10191855.29,477677678.55,-294011068.54,,589246203.15,3593488723.74,4182734926.89
2023-03-31,2523245008.07,35686812.15,128951293.65,2687883113.87,1858382228.86,300464093.13,222566888.44,392720406.14,2774133616.57,-86250502.7,,,67008.07,,,67008.07,36160268.97,,,,36160268.97,-36093260.9,56000000.0,,,,,56000000.0,300000000.0,10320000.0,,3104870.24,313424870.24,-257424870.24,,-379768633.84,3593488723.74,3213720089.9
2022-12-31,12952579155.64,97605650.99,640055864.54,13690240671.17,8097686672.91,1320327348.64,816680188.41,1699812395.26,11934506605.22,1755734065.95,600234.42,,13026872.97,,,13627107.39,126616305.68,,,,126616305.68,-112989198.29,,,,,,,500000000.0,200712191.24,64809460.34,89262010.45,789974201.69,-789974201.69,,852770665.97,2740718057.77,3593488723.74
