A股股东人数,B股股东人数,变动比率,股东人数,H股股东人数,户均持股金额,户均流通股,户均持股变动比率,股价,报告日期,十大流通股东持股合计,十大股东持股合计
96900,,2.65,96900,,222892.24462105264,10405.80040247678,-2.58,21.42,2025-06-10,,
94400,,-0.11,94400,,227192.90460730935,10681.377743644069,0.11,21.27,2025-05-31,,
94500,,0.21,94500,,237409.16203968253,10670.074698412698,-0.21,22.25,2025-05-20,,
94300,,1.84,94300,,233100.96379851538,10692.704761399787,-1.8,21.8,2025-05-09,,
92600,,5.71,92600,,231500.29129956805,10889.00711663067,-5.4,21.26,2025-04-30,,
87600,,12.6,87600,,261864.46166952056,11510.525787671233,-11.19,22.75,2025-04-18,,
77800,,-3.63,77800,,319993.208698072,12960.437776349614,3.77,24.69,2025-04-10,,
80733,,-4.23,80733,,303497.0338486121,12489.589870313255,4.42,24.3,2025-03-31,49.8829,49.89
84300,,3.69,84300,,297712.1713939502,11961.115765124556,-3.56,24.89,2025-03-20,,
81300,,3.04,81300,,299520.02121586713,12402.485350553505,-2.95,24.15,2025-03-10,,
78900,,7.2,78900,,309908.8711121673,12779.747262357414,-6.72,24.25,2025-02-28,,
73600,,6.67,73600,,338801.6918351902,13700.027975543479,-6.25,24.73,2025-02-20,,
69000,,7.64,69000,,369864.2219317391,14613.363173913043,-7.1,25.31,2025-02-10,,
64100,,-3.03,64100,,423621.1084067083,15730.453338533542,3.12,26.93,2025-01-27,,
66100,,-4.48,66100,,409735.71111558244,15254.494084720121,4.69,26.86,2025-01-20,,
69200,,4.95,69200,,361801.108742341,14571.128020231214,-4.72,24.83,2025-01-10,,
65935,,-4.58,65935,,419626.21979741106,15292.6679153712,4.8,27.4397,2024-12-31,52.0032,52.0
69100,,-4.16,69100,,405932.82946333574,14592.1897105644,4.34,27.8185,2024-12-20,,
72100,,1.69,72100,,377332.7589624244,13985.025090152565,-1.66,26.9812,2024-12-10,,
70900,,5.35,70900,,365717.3494225472,14221.72509167842,-5.08,25.7154,2024-11-29,,
67300,,,67300,,416938.2004008262,14982.4711589896,,27.8284,2024-11-20,,
