报告期,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,应收利息,应收股利,其他应收款,存货,合同资产,划分为持有待售的资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,短期借款,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,划分为持有待售的负债,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款合计,长期应付款,专项应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),其他权益工具,其中：优先股,永续债,资本公积,减：库存股,其他综合收益,专项储备,盈余公积,未分配利润,一般风险准备,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,股东权益合计,负债和股东权益总计
2025-03-31,5574920468.61,,8009073470.58,231622331.2,7777451139.38,931997983.12,,,,2962908006.16,885474458.91,,77134383.69,451850788.39,20076524696.11,,,107016390.04,339553927.22,689375.44,,,1801544827.53,,,178367805.28,,,,,716188549.97,109726236.11,,7907356.57,240533162.87,1233227577.51,4777638900.33,24854163596.44,78136900.0,,,8776842747.59,715251626.3,8061591121.29,1089714.79,2167376108.92,16678316.93,66022363.14,,,,,101153226.58,298206551.19,11758385646.61,153000000.0,,104559125.6,,,900946.1,6507480.12,168606630.87,,461309183.01,12219694829.62,1018874309.0,,,,648568171.35,126076610.0,-668611.06,72973328.13,539057897.68,9365523291.15,,,11518251776.25,1116216990.57,12634468766.82,24854163596.44
2024-12-31,5554537046.95,,9029218238.33,234727753.55,8794490484.78,936791377.9,,,,2644362782.43,885750303.57,,69113632.72,446678857.27,20591189699.51,,,116915830.42,339553927.22,689375.44,,,1766577979.88,,,209446724.7,,,,,742606386.86,110831978.43,,8458368.07,242582708.32,1087854445.01,4673428963.33,25264618662.84,78178566.67,,,9732392715.61,902541684.82,8829851030.79,,1713252096.39,24400438.54,170067407.24,,84566567.65,,,97634629.31,287805887.81,12408723886.85,153462223.2,,113612666.91,,,900946.1,7290683.2,169055350.66,,474053630.08,12882777516.93,1018874309.0,,,,639889830.31,126076610.0,-668611.06,66251394.06,539057897.68,9157943098.58,,,11295271308.57,1086569837.34,12381841145.91,25264618662.84
2024-09-30,5345689866.63,,7249516066.69,225582459.05,7023933607.64,972803383.78,,,,3377337333.79,934278458.52,,60216750.62,82784164.47,19153199215.07,,,124289704.55,334538131.29,3168298.12,,,1710223867.5,,,191018871.67,,,,,732992742.25,79046187.59,,6889495.74,236463988.11,959398873.83,4425204704.55,23578403919.62,60000000.0,,,8198899926.02,1188772488.88,7010127437.14,480646.11,1887345307.59,3861585.45,89226811.82,,,,,83968276.2,256044131.55,10794214405.9,,,122594045.61,,,,7154550.05,172101523.36,,330152190.41,11124366596.31,1018874309.0,,,,631205982.7,126076610.0,-1002807.67,68528710.68,533784397.68,9214413314.9,,,11339727297.29,1114310026.02,12454037323.31,23578403919.62
2024-06-30,4941795368.07,,7791672288.89,441062279.67,7350610009.22,713096933.08,,,670701271.27,2813708449.32,907999108.39,,49354306.67,109352213.6,18255576483.02,,,133726668.46,334538131.29,2725502.68,,,1724376662.39,1724376662.39,,135830159.94,135830159.94,,,,751832381.27,67164562.99,,6787108.69,245979823.39,912560200.11,4349497583.28,22605074066.3,,,,8040223427.2,850279287.29,7189944139.91,771864.75,1485660830.95,3670755.24,114839886.05,,,213819085.95,,69340783.86,208013348.35,10136339982.35,,,131503919.55,131503919.55,,,5142243.52,169305556.65,,324438555.64,10460778537.99,1019009309.0,,,,624241610.12,127649900.0,-1445603.11,63530622.48,533784397.68,8947578267.4,,,11059048703.57,1085246824.74,12144295528.31,22605074066.3
2024-03-31,5238179989.04,,7580085850.06,263251276.0,7316834574.06,554661974.6,,,,2757022531.41,748205737.21,,42455909.64,161523760.27,18224174267.61,,,142342461.3,331228057.63,2478928.1,,,1737862259.11,,,110174868.75,,,,,771442604.01,55744554.67,,5909534.51,242264439.95,717720071.98,4156325193.79,22380499461.4,,,,7493053604.59,336111060.7,7156942543.89,1564627.5,1950005272.42,3640079.78,76879878.86,,,,,63012155.63,274812812.07,10067067977.19,,,140342940.56,,,,5925939.17,170493004.31,,340473687.55,10407541664.74,1019009309.0,,,,615720189.29,127649900.0,-1692177.69,59479757.96,533784397.68,8858502962.48,,,10957154538.72,1015803257.94,11972957796.66,22380499461.4
2023-12-31,5015936284.1,,7465906018.82,240597947.54,7225308071.28,430978363.59,,,618063864.0,2708435233.16,653698414.51,,34960449.17,73855066.88,17829319103.39,,,151629686.93,331228057.63,2673456.26,,,1760895991.12,1760895991.12,,101189670.64,101189670.64,,,,796436518.44,55698903.64,,6248074.8,246454536.92,580432930.6,4073779342.78,21903098446.17,,,,7814658866.76,539536280.76,7275122586.0,,1362182280.06,10744541.56,194265551.89,,,223100745.69,,53883166.95,198194712.03,9857029864.94,,,149111754.56,149111754.56,,,6192595.38,173517811.98,,352732068.32,10209761933.26,1019009309.0,,,,606979972.62,127649900.0,-1497649.53,53029023.54,533784397.68,8621346801.61,,,10705001954.92,988334557.99,11693336512.91,21903098446.17
2023-09-30,4428800846.03,,7186534831.97,84728592.5,7101806239.47,821057950.2,,,,3176528987.08,606728443.98,,,43828413.11,17406403187.85,,,,,332507097.17,,,1525049619.83,,,66277329.34,,,,,722525910.31,48581639.64,,3367167.14,190501110.65,638581497.41,3562723923.12,20969127110.97,,,,7198756862.02,790893021.39,6407863840.63,,1251374832.79,3504429.44,135852933.07,,803600.0,,,17890211.38,186678015.12,8993347563.59,,,183497653.49,,,,5424844.73,10816350.0,,221168180.67,9214515744.26,1019009309.0,,,,938606112.55,127649900.0,-1437397.86,33226279.5,526589571.7,8351278518.04,,,10739622492.93,1014988873.78,11754611366.71,20969127110.97
2023-06-30,4254739684.78,,7221735146.96,32796327.37,7188938819.59,844968842.63,,,203567643.17,2991200675.83,385818439.42,,,71994505.7,16980170494.53,,,,,2708648.69,,,1553607738.09,1553607738.09,,50753505.42,50753505.42,,,,723013466.45,30087597.08,,,190209605.99,807876678.68,3395854811.54,20376025306.07,,,,6901438471.17,591800322.32,6309638148.85,,1240996456.56,3265769.62,144477583.16,,803600.0,199339855.78,,17342072.28,169730967.45,8677394776.02,,,173837772.65,173837772.65,,,5775011.16,16166350.0,,216676286.08,8894071062.1,1008327309.0,,,,812795916.13,,-1462457.1,27185278.17,526589571.7,8127534202.97,,,10500969820.87,980984423.1,11481954243.97,20376025306.07
2023-03-31,3301228232.03,,6931248564.46,42943954.06,6888304610.4,651482266.27,,,,2925209697.26,366268026.26,,,117885434.82,15593537646.88,,,,386038.98,2837749.6,,,1586387150.67,,,50778039.91,,,,,736270132.65,44102492.99,,,176673964.42,720533537.54,3357218674.14,18950756321.02,,,,6008180800.0,299254020.6,5708926779.4,,1255629923.48,3340038.77,75086819.11,,803600.0,,,19057138.47,188447334.69,7619320609.61,,,146071154.87,,,,,16666350.0,,183999944.39,7803320554.0,1008327309.0,,,,811887499.92,,-1333356.19,20992870.88,526589571.7,7869893535.37,,,10236357430.68,911078336.34,11147435767.02,18950756321.02
2022-12-31,3702646324.08,,6500284355.13,91424706.19,6408859648.94,595166686.9,,,302081657.86,2808396611.03,495023617.95,,,76089749.14,15896243140.88,,,,386038.98,2903549.85,,,1804780914.4,1804780914.4,,52364856.62,52364856.62,,,,824705577.92,40580451.84,,338362.86,181318472.29,566688030.05,3503143170.02,19399386310.9,,,,5916535182.28,171161834.31,5745373347.97,,1187036214.37,9308112.94,253848857.5,,,98114380.31,,322172660.58,181802542.4,7968817950.38,,,122545941.06,122545941.06,,,4517739.76,191742009.6,,333053216.71,8301871167.09,1008327309.0,,,,911887572.96,,-1267555.94,17161790.6,533784397.68,7801128014.08,,,10271021528.38,826493615.43,11097515143.81,19399386310.9
