报告期,方案,股权登记日,除权除息日,派息日
2024年报,10派5元(股东大会预案),,,
2023年报,10派3.999160元(实施方案),2024-06-21,2024-06-24,
2022年报,10派2.999822元(实施方案),2023-06-21,2023-06-26,
2021年报,10派2元(实施方案),2022-06-20,2022-06-21,
2020年报,10派1.999798元(实施方案),2021-06-22,2021-06-23,
2019年报,10派1元(实施方案),2020-06-08,2020-06-09,
2018年报,10派1元(实施方案),2019-06-06,2019-06-10,
2017年报,10派1元(实施方案),2018-05-22,2018-05-23,
2016年报,10派1元(实施方案),2017-05-31,2017-06-01,
2015年报,10转2股派2元(实施方案),2016-04-22,2016-04-25,
2014年报,10派1元(实施方案),2015-04-22,2015-04-23,
2013年报,10转4股派2元(实施方案),2014-05-15,2014-05-16,
2012年报,10派1元(实施方案),2013-05-28,2013-05-29,
2011年报,10派1元(实施方案),2012-05-28,2012-05-29,
2010年报,10派8元(实施方案),2011-05-05,2011-05-06,
2009年报,10派2元(实施方案),2010-04-19,2010-04-20,
2008年报,10转增6股派2元(实施方案),2009-04-17,2009-04-20,
2007年报,10转增6股派2元(实施方案),2008-04-14,2008-04-15,
2007中报,10转5股派3元(实施方案),2007-09-17,2007-09-18,
2005年报,10派2元(实施方案),2006-06-09,2006-06-12,
