报告期,营业总收入,其中：营业收入,营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：对联营企业和合营企业的投资收益,资产处置收益,其他收益,营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,利润总额,减：所得税费用,净利润差额(合计平衡项目),净利润,（一）持续经营净利润,归属于母公司股东的净利润,少数股东损益,扣除非经常性损益后的净利润,基本每股收益,稀释每股收益,其他综合收益,归属母公司所有者的其他综合收益,综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2025-03-31,3226557969.19,3226557969.19,2743442980.36,2248557111.44,17583989.22,162295690.53,89347292.1,254803447.08,-29144550.01,1885778.35,16004876.8,533963.53,-3389814.8,-1977160.0,6042603.59,-1261691.21,-105351.23,23313697.97,513244630.43,1414669.75,,338694.3,,514320605.88,50954586.07,,463366019.81,463366019.81,446499519.83,16866499.98,436690865.24,0.57,0.57,5798728.02,5798728.02,469164747.83,452298247.85,16866499.98
2024-12-31,15458068522.4,15458068522.4,13046894090.77,10627846023.48,98639864.69,767997611.86,449184315.59,1110019938.4,-6793663.25,7809509.99,58276584.76,151844700.31,122316033.8,29224625.58,47189126.54,210259.85,793546.61,218012034.94,2432233031.19,8920331.3,,10619265.71,,2430534096.78,345709458.34,,2084824638.44,2084824638.44,2049069550.48,35755087.96,1878424783.64,2.64,2.64,2958531.33,2958531.33,2087783169.77,2052028081.81,35755087.96
2024-09-30,10407267185.3,10407267185.3,8705514181.2,7136797105.38,59311620.83,487796917.76,258761158.37,734728891.12,28118487.74,2668614.33,44029934.37,9315466.55,105007592.99,14046777.0,35888711.71,-2424620.82,549791.19,106788621.85,1744703846.31,4689577.32,,6671189.32,,1742722234.31,223355175.84,,1519367058.47,1519367058.47,1491370179.34,27996879.13,1405362048.19,1.92,1.92,43411.88,43411.88,1519410470.35,1491413591.22,27996879.13
2024-06-30,6166231351.38,6166231351.38,5158337700.01,4208657019.09,37036316.93,293042091.0,170455721.65,444731155.68,4415395.66,1025691.46,27521309.35,4291627.25,39249611.32,10597797.0,21107532.38,-2262706.77,400968.92,58814798.37,1055273509.47,2275725.82,,5551435.21,,1051997800.08,155333004.26,,896664795.82,896664795.82,887142401.72,9522394.1,840617346.74,1.15,1.14,1970258.02,1970258.02,898635053.84,889112659.74,9522394.1
2024-03-31,2657548485.89,2657548485.89,2287613630.2200003,1841571583.5,13201650.03,133740081.76,79310638.99,213511490.57,6278185.37,1764211.72,14144855.51,-641261.54,-13390954.05,2491832.0,8532407.1,-1959894.95,263246.91,17843057.76,413097615.03,1215068.25,,1133787.21,,413178896.07,51655270.77,,361523625.3,361523625.3,363269779.12,-1746153.82,340905855.81,0.47,0.47,2151676.6,2151676.6,363675301.9,365421455.72,-1746153.82
2023-12-31,12460028391.72,12460028391.72,10716492941.55,8784341078.86,78039592.49,582306034.98,357994192.74,916820528.19,-3008485.71,6496944.95,37280318.04,131413997.04,80281949.85,13392678.78,19790422.78,259269.92,753132.5,212308542.05,1778084279.39,4404926.37,,11078770.67,,1771410435.09,162896275.58,,1608514159.51,1608514159.51,1559170409.63,49343749.88,1420997954.02,2.02,2.02,55427073.08,55427073.08,1663941232.59,1614597482.71,49343749.88
2023-09-30,8580896660.31,8580896660.31,7266214395.759999,5997352521.48,52586557.56,376760699.59,225312503.39,627322367.48,-13120253.74,5087447.34,28177223.9,483657.05,62490292.59,-25822503.68,12158678.15,-2458255.34,1000093.13,70639922.96,1309684505.47,2554591.76,,8224390.72,,1304014706.51,116177303.37,,1187837403.14,1187837403.14,1148291269.88,39546133.26,1110754262.96,1.49,1.49,202915705.46,202915705.46,1390753108.6,1351206975.34,39546133.26
2023-06-30,5303238026.81,5303238026.81,4486142559.99,3762118377.24,31409005.73,222515677.32,143623367.68,367196579.3,-40720447.28,3855322.27,17687925.84,-1231067.54,44635292.39,-41677803.68,11051375.93,-2389156.58,943186.02,56082353.18,800090353.42,1489256.21,,3519157.99,,798060451.64,70821112.18,,727239339.46,727239339.46,700535793.78,26703545.68,680768726.16,0.91,0.91,-2012787.83,-2012787.83,725226551.63,698523005.95,26703545.68
2023-03-31,2171977395.78,2171977395.78,1962094100.54,1602528125.79,11894676.33,111142881.63,56382417.35,163275614.05,16870385.39,1461885.52,8300038.45,-4887833.9,11550460.63,10384260.2,8475238.14,-1465244.5,318000.2,28454599.81,250852766.86,729504.0,,1386227.07,,250196043.79,20104483.37,,230091560.42,230091560.42,218414345.95,11677214.47,182338992.94,0.28,0.28,-1600468.25,-1600468.25,228491092.17,216813877.7,11677214.47
2022-12-31,10537097608.15,10537097608.15,9178785356.060001,7763175219.2,72098195.63,464836538.07,215469152.53,673124776.73,-9918526.1,5046489.51,15847398.17,-4343890.61,104852344.58,-38246437.42,6470402.8,-1168365.13,1073272.1,114876575.88,1341977611.48,6165493.05,,17044903.93,,1331098200.6,43518074.98,,1287580125.62,1287580125.62,1220505152.24,67074973.38,1168216243.16,1.59,1.59,-344164775.12,-344164775.12,943415350.5,876340377.12,67074973.38
2022-09-30,7001741569.06,7001741569.06,6009767473.04,5180130892.61,41574327.2,291579425.89,187166478.92,383418220.29,-74101871.87,3733457.25,10802583.01,7234248.71,61423984.99,-82197914.92,5457285.02,-1727680.66,420953.37,53033374.87,900029560.66,3266329.85,,11517942.38,,891777948.13,64640566.92,,827137381.21,827137381.21,785746327.28,41391053.93,808923070.13,1.02,1.02,-134682170.08,-134682170.08,692455211.13,651064157.2,41391053.93
2022-06-30,4345172077.39,4345172077.39,3735068996.2799997,3232793679.6,26393667.41,165415178.07,117064479.4,229155939.46,-35753947.66,2387872.42,6520160.89,4589326.1,61672194.55,-34278753.25,3894288.37,-1950099.18,346197.58,45700998.54,559504291.7,2128343.73,,5096424.48,,556536210.95,65070880.34,,491465330.61,491465330.61,473073175.9,18392154.71,464256085.44,0.62,0.62,9146104.72,9146104.72,500611435.33,482219280.62,18392154.71
2022-03-31,1739308457.3,1739308457.3,1562014829.2499998,1322635604.94,8702000.32,82512215.32,43725692.71,99644093.17,4795222.79,956722.12,2133522.01,3374181.71,2258601.91,3919192.42,801918.1,-1290265.94,244808.92,5911984.92,182538748.79,1505213.16,,571736.53,,183472225.42,22949441.71,,160522783.71,160522783.71,152165107.41,8357676.3,142285170.32,0.2,0.2,-3208526.99,-3208526.99,157314256.72,148956580.42,8357676.3
2021-12-31,8695335076.97,8695335076.97,7345377315.5,6045166036.76,55251560.08,415070585.27,253049040.74,556296819.13,20543273.52,3426499.03,11836767.32,18171971.37,44424811.09,10375146.2,10864398.34,-398665.59,-651233.15,98937554.21,1406886844.61,8687192.2,,11888464.94,,1403685571.87,131367841.25,,1272317730.62,1272317730.62,1197669571.59,74648159.03,1111987668.36,1.57,1.57,724363212.42,724363212.42,1996680943.04,1922032784.01,74648159.03
2021-09-30,6122165760.62,6122165760.62,5042458206.509999,4253088185.83,36904886.92,262033605.06,180484841.57,309793778.64,152908.49,1684509.75,8931837.37,10978532.09,43364743.47,-6825299.11,6704651.94,-3012002.85,-903839.85,38445231.71,1062785023.24,4310643.0,,3267843.07,,1063827823.17,123094117.79,,940733705.38,940733705.38,888818877.25,51914828.13,860755922.04,1.16,1.16,-1931682.93,-1931682.93,938802022.45,886887194.32,51914828.13
2021-06-30,3839548918.6,3839548918.6,3142299828.8299994,2643885995.96,20839755.37,158910585.93,119268404.06,194713846.97,4681240.54,1339290.62,6625622.65,1569588.82,30023471.34,71671.74,2669328.12,-2374267.05,52407.9,30534284.47,698983721.84,2860518.15,,1396301.03,,700447938.96,93735102.39,,606712836.57,606712836.57,569532056.65,37180779.92,543047118.28,0.75,0.75,-1669340.29,-1669340.29,605043496.28,567862716.36,37180779.92
2021-03-31,1812015226.72,1812015226.72,1450834067.28,1254904458.87,8805586.2,81142271.03,39899849.79,77188205.31,-11106303.92,733409.07,3768050.84,-994438.35,13245948.1,-2407220.0,17652.99,-1858909.8,176361.13,4584230.1,351300673.91,2343218.27,,512541.36,,353131350.82,48071233.89,,305060116.93,305060116.93,280376659.19,24683457.74,278405191.99,0.37,0.37,-4125.9,-4125.9,305055991.03,280372533.29,24683457.74
2020-12-31,7372519863.93,7372519863.93,6341753760.61,5215058722.63,46223222.27,410333554.94,203763940.86,425371183.99,41003135.92,2020709.36,12327612.1,-7673035.17,39038125.63,17690487.91,8795645.0,85862.34,3835296.57,85469507.81,1115191950.15,6046177.14,,6316313.12,,1114921814.17,121086712.3,,993835101.87,993835101.87,933328869.23,60506232.64,846586145.25,1.23,1.23,562422413.42,562422413.42,1556257515.29,1495751282.65,60506232.64
2020-09-30,5067733592.98,5067733592.98,4106671508.77,3322583154.06,30010464.84,406037565.2,94865928.89,236174554.56,16999841.22,1243464.27,8910495.17,-5104516.1,42156674.38,14087080.82,5020699.0,-1791084.06,3601885.17,47942394.06,994661984.98,3265933.96,,2042041.95,,995885876.99,119372050.39,,876513826.6,876513826.6,832631761.44,43882065.16,778622444.81,1.09,1.09,-16823127.2,-16823127.2,859690699.4,815808634.24,43882065.16
2020-06-30,2930758905.56,2930758905.56,2397027108.42,1927190752.41,16762339.98,246492050.98,63557439.08,154235445.34,-11210919.37,675275.56,5070787.98,-5187567.88,33091891.04,-2526055.07,3708621.74,-1604635.81,3392090.77,42547412.75,552949544.17,2139098.34,,1113635.65,,553975006.86,66884493.61,,487090513.25,487090513.25,460991722.93,26098790.32,425440079.79,0.61,0.61,-8308722.47,-8308722.47,478781790.78,452683000.46,26098790.32
2020-03-31,864949666.57,864949666.57,784923082.68,567885094.3,5589355.25,124398057.08,31438920.89,66200134.9,-10588479.74,451935.64,2843010.57,-882845.42,2882677.8,-5552766.27,1521500.99,-1275977.39,3790420.91,21227957.45,99013864.59,502143.98,,183886.24,,99332122.33,8264382.63,,91067739.7,91067739.7,88170272.11,2897467.59,71220710.41,0.12,0.12,-5403635.51,-5403635.51,85664104.19,82766636.6,2897467.59
2019-12-31,6380095191.01,6380095191.01,5862005086.320001,4510246016.78,34982378.68,671436567.19,250635674.96,387060439.07,7644009.64,1983673.37,10424279.08,10557866.69,-35664144.46,3683849.55,4846597.42,-1919238.76,467729.37,75640680.68,627835239.48,9376608.56,,5464390.6,,631747457.44,55934478.58,,575812978.86,575812978.86,557564271.47,18248707.39,489869085.28,0.73,0.73,-17516136.59,-17516136.59,558296842.27,540048134.88,18248707.39
2019-09-30,4203290554.66,4203290554.66,3781756240.3499994,2951830767.61,20655685.66,449384994.06,127682326.52,235529142.25,-3326675.75,1249314.75,8040395.58,100629.01,-11625480.49,-25650.0,-846764.97,-4046458.11,108168.83,25454823.78,457749743.43,26767408.15,,2873396.69,,481643754.89,60107645.67,,421536109.22,421536109.22,410312743.82,11223365.4,372473608.17,0.54,0.54,2348622.89,2348622.89,423884732.11,412661366.71,11223365.4
2019-06-30,2411801275.6,2411801275.6,2208495669.8999996,1705436910.62,12504913.38,257007257.02,78360336.08,152197629.44,2988623.36,1075217.71,5806418.4,1932616.09,-11079095.77,-18900.0,-1531046.32,-3912903.65,108039.89,4089933.35,215100112.3,12134911.67,,1921612.6,,225313411.37,29191157.79,,196122253.58,196122253.58,192247586.42,3874667.16,181441921.39,0.25,0.25,752673.06,752673.06,196874926.64,193000259.48,3874667.16
2019-03-31,842311959.88,842311959.88,848814208.3199999,594172560.94,4579317.59,129467700.45,40478581.72,70847322.34,9268725.28,1075217.71,4515556.34,1037676.87,-36098997.79,,409960.9,-851840.7,-141854.56,1473830.94,30301009.76,1670376.31,,1048845.56,,30922540.51,9531504.0,,21391036.51,21391036.51,20208069.36,1182967.15,17993148.61,0.03,0.03,-814341.68,-814341.68,20576694.83,19393727.68,1182967.15
2018-12-31,4806616779.94,4806616779.94,4483598258.620001,3336086264.06,34376113.11,572865314.39,228127929.67,345312963.64,-33170326.25,2104821.12,16775720.04,132364022.69,,,29531901.72,-605412.7,580103.25,54556862.33,275323365.93,47165728.51,,5103067.3,,317386027.14,23403896.7,,293982130.44,293982130.44,294624697.54,-642567.1,197500259.32,0.39,0.39,1387988.69,1387988.69,295370119.13,296012686.23,-642567.1
2018-09-30,3061314779.65,3061314779.65,2833081980.0699997,2110266143.98,17149022.17,371513619.77,153024429.44,215995190.91,-34866426.2,926340.74,11052080.56,39893354.84,,,18787067.25,-2079834.85,-13913.06,22391409.47,229504008.4,40744708.69,,3101741.55,,267146975.54,24370873.72,,242776101.82,242776101.82,239700553.16,3075548.66,183254524.54,0.32,0.32,2082726.23,2082726.23,244858828.05,241783279.39,3075548.66
2018-06-30,1751344563.75,1751344563.75,1625364771.0,1196709488.1,10684670.57,211582890.33,77154191.0,137399976.26,-8166445.26,,4856603.71,21912103.93,,,8883357.31,-1546084.32,-78147.18,19313695.32,132186594.27,20815006.75,,3010832.05,,149990768.97,9944479.85,,140046289.12,140046289.12,134646901.36,5399387.76,103776352.68,0.18,0.18,537809.4,537809.4,140584098.52,135184710.76,5399387.76
2018-03-31,581665230.65,581665230.65,617288947.51,395768487.74,2431046.67,88637100.32,33165150.92,70371297.32,26915864.54,,2566317.44,-3462033.75,,,3933929.76,703755.37,54307.86,2912199.78,-25261245.71,6653121.91,,225622.61,,-18833746.41,-10792370.77,,-8041375.64,-8041375.64,-7539169.19,-502206.45,-17831904.95,-0.01,-0.01,-1431169.04,-1431169.04,-9472544.68,-8970338.23,-502206.45
2017-12-31,4494788142.89,4494788142.89,4243805624.6899996,3038754498.21,39245936.73,579877428.76,198575250.5,354398872.2,32953638.29,,8886111.88,52673155.79,,-34650.0,24152477.22,-2953191.53,-178928.38,54912332.35,277160593.6,24307873.21,,2686177.04,,298782289.77,21483910.72,,277298379.05,277298379.05,249191172.36,28107206.69,177656190.0,0.33,0.33,-2171041.9,-2171041.9,275127337.15,247020130.46,28107206.69
