报告期,销售商品、提供劳务收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,加：期初现金及现金等价物余额,期末现金及现金等价物余额
2025-03-31,3724140524.71,129232684.84,23798660.32,3877171869.87,3173075512.76,747030273.8,218905329.67,296922327.55,4435933443.78,-558761573.91,21798515.15,13732993.93,125009.73,0.0,2730000000.0,2765656518.81,258227752.57,0.0,0.0,3100005094.2,3358232846.77,-592576327.96,34715025.0,0.0,47300000.0,,0.0,82015025.0,26000000.0,1295591.24,0.0,7764340.14,35059931.38,46955093.62,5007851.71,-1099374956.54,3695739915.02,2596364958.48
2024-12-31,15335129703.83,260681814.71,204691032.2,15800502550.74,9309709277.96,1820190612.87,1073505828.6,1134624602.67,13338030322.1,2462472228.64,191387384.81,52567462.17,2346358.9,,8692815915.98,8939117121.86,921779240.44,,,9722762964.59,10644542205.03,-1705425083.17,140755843.0,,153750000.0,,,294505843.0,95690738.52,353403923.96,38455080.0,44507414.51,493602076.99,-199096233.99,-8051903.12,549899008.36,3145840906.66,3695739915.02
2024-09-30,10111246706.53,208672510.38,108212783.11,10428132000.02,6970307385.18,1333588261.19,647162601.01,697067356.4,9648125603.78,780006396.24,0.0,235008881.17,1145567.75,0.0,5942815915.98,6178970364.9,728077150.63,0.0,0.0,6792757478.16,7520834628.79,-1341864263.89,75690163.0,0.0,108700000.0,,0.0,184390163.0,20500000.0,350461428.92,37001618.27,13412151.28,384373580.2,-199983417.2,-22653926.05,-784495210.9,3145840906.66,2361345695.76
2024-06-30,6258842226.56,129649786.04,58176258.84,6446668271.44,4576615474.49,938121872.45,388945261.16,436481577.29,6340164185.39,106504086.05,0.0,220057950.9,925376.85,,3964213470.56,4185196798.31,407298676.76,,,4628142009.56,5035440686.32,-850243888.01,5241348.0,0.0,63700000.0,,,68941348.0,20000000.0,336909438.15,24912064.0,10660372.69,367569810.84,-298628462.84,-6392540.34,-1048760805.14,3145840906.66,2097080101.52
2024-03-31,3046488598.51,77822386.16,31056642.82,3155367627.49,2270840489.61,581471026.76,144549790.1,268076164.71,3264937471.18,-109569843.69,0.0,206237320.25,92895.26,0.0,1951601648.61,2157931864.12,241859920.36,0.0,0.0,3024102920.62,3265962840.98,-1108030976.86,2547531.0,0.0,36000000.0,,0.0,38547531.0,20000000.0,1322357.34,0.0,6940955.08,28263312.42,10284218.58,-6014289.41,-1213330891.38,3145840906.66,1932510015.28
2023-12-31,12327387344.27,198935286.72,251810815.71,12778133446.7,7394425846.07,1456490630.0,837800595.51,817301405.98,10506018477.56,2272114969.14,1000000000.0,24740175.64,4604492.97,,4014608582.32,5043953250.93,732734250.43,,595920088.44,4464401638.18,5793055977.05,-749102726.12,45198819.0,,108483149.42,,,153681968.42,135729335.41,298527672.25,63858280.0,331210550.31,765467557.97,-611785589.55,-16586189.99,894640463.48,2251200443.18,3145840906.66
2023-09-30,8177696693.53,147674631.96,93139650.54,8418510976.03,5126465099.94,1084019688.62,558275705.37,951699531.36,7720460025.29,698050950.74,0.0,1019834170.71,2321067.89,0.0,2450444748.0,3472599986.6,550438831.25,0.0,884211088.44,2964401149.64,4399051069.33,-926451082.73,30073527.0,0.0,34582963.37,,0.0,64656490.37,110729335.41,294489161.34,60406080.0,4051866.95,409270363.7,-344613873.33,15057241.86,-557956763.46,2251200443.18,1693243679.72
2023-06-30,4909762118.89,97843014.83,71054122.53,5078659256.25,3635211658.79,752083992.41,335344863.23,369790365.42,5092430879.85,-13771623.6,4990000.0,18656469.56,1544925.7,,2245454748.0,2270646143.26,336063668.95,0.0,860211088.44,1300002344.89,2496277102.28,-225630959.02,5031972.0,0.0,0.0,,,5031972.0,105729335.41,262659999.39,29277824.0,3034778.14,371424112.94,-366392140.94,20903923.3,-584890800.26,2251200443.18,1666309642.92
2023-03-31,2131438581.48,35954655.83,34148272.1,2201541509.41,1816599978.12,447138284.06,83080353.31,255075317.54,2601893933.03,-400352423.62,4276327.48,14804581.65,2099834.94,0.0,1385454748.0,1406635492.07,124447447.65,0.0,595920088.44,1000000000.0,1720367536.09,-313732044.02,4153152.0,0.0,0.0,,0.0,4153152.0,10000000.0,1089039.81,0.0,1559772.84,12648812.65,-8495660.65,-8047101.69,-730627229.98,2251200443.18,1520573213.2
2022-12-31,9910481144.56,198538917.45,131552056.82,10240572118.83,6524025947.54,1202596146.73,762439644.17,696652462.24,9185714200.68,1054857918.15,1000000000.0,8690431.45,2207067.63,,1965545252.0,2976442751.08,445357134.13,625500.0,,2980002489.55,3425985123.68,-449542372.6,44590946.0,,120857164.58,,,165448110.58,50000000.0,187586259.71,31774320.0,15372954.06,252959213.77,-87511103.19,28650486.67,546454929.03,1704745514.15,2251200443.18
