报告期,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,应收利息,应收股利,其他应收款,存货,合同资产,划分为持有待售的资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,短期借款,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,划分为持有待售的负债,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款合计,长期应付款,专项应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),其他权益工具,其中：优先股,永续债,资本公积,减：库存股,其他综合收益,专项储备,盈余公积,未分配利润,一般风险准备,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,股东权益合计,负债和股东权益总计
2025-03-31,2938760008.12,3017858030.55,6509330461.21,723654878.8,5785675582.41,685121341.23,,,,4100606124.27,1162773244.53,0.0,,223599023.31,18907108840.04,,,,1666093.9,15057511.62,127058160.27,,2351190722.72,,,432317704.18,,,,,567852762.3,,541001880.87,56327096.28,473657171.2,183162017.9,4788425775.96,23695534616.0,170698308.34,2113100.0,,5983180153.41,1743206380.32,4239973773.09,,2841914040.04,270795255.36,228327010.0,,,,0.0,11507873.97,120851143.47,10312124678.24,28000000.0,,6255076.0,,,60400046.69,57929318.31,26717282.22,,205836263.0,10517960941.24,778156782.0,0.0,,,455090400.81,,-6275635.4,5846127.08,331386006.75,11320711331.53,,,12884915012.77,292658661.99,13177573674.76,23695534616.0
2024-12-31,4027845600.62,2651217885.48,6604157912.66,845803792.96,5758354119.7,534250029.53,,,,3476970033.07,1121276982.79,0.0,,197947636.58,18910986760.56,,,,2927785.11,15057511.62,127058160.27,,2368003013.24,,,312331497.89,,,,,572249022.1,,541001880.87,51127831.36,423996688.06,117868806.14,4562715297.71,23473702058.27,148554341.67,556840.0,,6485307629.7,1815044484.5,4670263145.2,,2370005624.54,552528077.62,273490356.72,,,,0.0,14118508.94,102152371.63,10618408362.57,28000000.0,,6255076.0,,,64848424.32,57946537.64,26479282.22,,199951665.38,10818360027.95,777642620.0,0.0,,,408383793.28,,-12074363.42,,331386006.75,10874211811.7,,,12379549868.31,275792162.01,12655342030.32,23473702058.27
2024-09-30,2664763255.85,2456217808.22,6367247995.95,764469352.79,5602778643.16,566926901.39,,,,3657897162.74,1058711426.74,0.0,,150962470.98,17188216910.52,,,,292904.44,15057511.62,148928964.1,,2029791194.78,,,455083442.16,,,,,574271876.12,,648482327.5,39075064.32,424225179.7,92345154.66,4445963073.21,21634179983.73,178296188.52,1573000.0,,5609114036.57,1576504528.76,4032609507.81,,2235512162.53,354929494.82,293008794.22,24583.33,,,0.0,4634739.13,108090268.73,9408752152.38,28500000.0,,6255076.0,,,60099585.99,52701895.23,25247611.07,,185770923.24,9594523075.62,776296709.0,0.0,,,352245086.09,,-14783273.96,5994205.48,329379381.75,10318312856.65,,,11767444965.01,272211943.1,12039656908.11,21634179983.73
2024-06-30,2339470962.58,2270216830.73,5655768479.82,683364813.57,4972403666.25,492920563.05,,,247367600.64,3404376932.74,1012455149.72,,,142924627.36,15565501146.64,,,,454818.49,15057511.62,148928964.1,,1606415759.89,1606415759.89,,314118637.83,314118637.83,,,,576927492.71,,648482327.5,38852433.76,374127419.15,364977707.21,4109146364.3,19674647510.94,133165113.52,7107130.0,,4928349908.06,1253829269.23,3674520638.83,,1934934156.33,276146115.25,268024544.24,,50000.0,526589977.55,,4532400.67,107855981.06,8186755326.68,30000000.0,,6255076.0,6255076.0,,59999730.8,53693486.27,27198261.12,,192348941.6,8379104268.28,774213282.0,,,,226181978.89,,-12856427.82,4537490.74,329379381.75,9714085079.03,,,11035540784.59,260002458.07,11295543242.66,19674647510.94
2024-03-31,2129278580.68,2678833677.01,4994492490.93,819882427.4,4174610063.53,354116083.8,,,,3046693715.02,996392182.31,0.0,,112381195.08,14534123824.73,,,,757630.31,15057511.62,148928964.1,,1567754639.27,,,202979477.23,,,,,576618806.7,,648482327.5,41356604.12,329278977.23,403300522.59,3959126875.24,18493250699.97,105358238.52,12793120.0,,4393970955.25,1098984962.15,3294985993.1,,1574439214.26,219426076.39,200399999.83,,,,0.0,8621521.03,93774551.16,7243201523.13,30000000.0,,6255076.0,,,56891386.9,54947646.89,25918110.85,,186997823.67,7430199346.8,774050732.0,0.0,,,189975322.84,,-11974399.31,2564313.13,329379381.75,9499132012.61,,,10783127363.02,279923990.15,11063051353.17,18493250699.97
2023-12-31,3327916847.19,1611882159.05,5321004680.95,982479050.7,4338525630.25,335710500.02,,,209930898.33,2860764626.97,957398460.66,,,131659445.64,14756267618.81,,,,2717525.26,201840106.08,148928964.1,,1579449014.87,1579449014.87,,106379042.48,106379042.48,,,,482335773.57,,648482327.5,45176511.83,302334709.15,430428735.6,3977071388.19,18733339007.0,81823572.94,15259952.0,,4967163823.22,999613427.17,3967550396.05,,1483071871.31,396876489.79,179819507.49,,,613769066.1,,32168593.48,80624939.67,7850577816.0,30000000.0,,6255076.0,6255076.0,,59509621.31,82637527.01,25700003.95,,216852105.55,8067429921.55,773905932.0,,,,159217470.15,,64446888.01,,329379381.75,9057289269.57,,,10384238941.48,281670143.97,10665909085.45,18733339007.0
2023-09-30,1867458719.63,1665527641.57,5162334621.67,926163669.0,4236170952.67,326401144.49,,,,2755072560.56,979466446.01,0.0,,73858325.28,13073940311.08,,,,,399056531.92,148618300.7,1415680.0,1298527652.62,,,205599330.39,,,,,389116596.44,,807043562.01,41530477.23,270910577.47,410403585.07,3997772560.55,17071712871.63,64582963.37,43463624.0,,4105102498.97,733662245.59,3371440253.38,,1128782756.11,264161939.09,239259133.42,,,,0.0,27098189.34,87520887.72,6544986760.79,,,6255076.0,,,53786565.04,78995325.83,25918072.33,,180290103.8,6725276864.59,773253532.0,0.0,,,158596273.95,,101687865.86,5276553.48,299292484.71,8759163292.92,,,10097270002.92,249166004.12,10346436007.04,17071712871.63
2023-06-30,1861677843.81,201130136.99,5034346960.67,888125933.12,4146221027.55,259505917.88,,,220612384.08,2609284551.75,892333168.26,,,129113156.62,11208004120.06,,,,69098.76,1120931004.99,148618300.7,1482040.0,1270481082.46,1270481082.46,,180624248.41,180624248.41,,,,391017139.64,,807043562.01,44862540.84,285339751.3,559947814.04,4839553842.05,16047557962.11,35000000.0,59427574.0,,3666943439.45,678213683.47,2988729755.98,,957309615.56,215902278.14,167597627.24,,26000000.0,627692569.3,,27172502.19,81754533.2,5864800139.08,,,6255076.0,6255076.0,,50865247.87,178711519.52,25694179.75,,278688812.74,6143488951.82,770206032.0,,,,293600769.01,,400842883.56,4781261.08,383021391.0,7807324305.83,,,9659776642.48,244292367.81,9904069010.29,16047557962.11
2023-03-31,1733214735.71,766450935.54,4479422743.32,891093397.94,3588329345.38,325743795.3,,,,2695932451.05,829352714.76,,,87805093.75,11137055290.75,,,,993010.84,1120931004.99,148618300.7,1548400.0,1264578165.15,,,162235509.54,,,,,390950560.87,,806744752.84,45946420.78,261361567.95,150977262.55,4383687382.92,15520742673.67,129191334.51,7568943.0,,3590365892.78,789834568.68,2800531324.1,,840828300.45,165074479.28,131420980.34,,,,,10230732.59,68901578.21,5537804640.66,20000000.0,,6255076.0,,,49213842.13,175558541.08,25088887.17,,292009498.23,5829814138.89,770160532.0,0.0,,,289059300.79,,401255203.14,2463327.2,383021391.0,7556309710.09,,,9402269464.22,288659070.56,9690928534.78,15520742673.67
2022-12-31,2462046038.7,1154715677.15,4500828655.96,973630166.44,3527198489.52,404552942.54,,,200790086.54,2458679992.63,826505758.75,,,65445154.23,12073564306.5,,,,2458255.34,1269095933.07,148618300.7,1614760.0,1215046077.58,1215046077.58,,151473169.77,151473169.77,,,,393771297.09,,51305250.31,19877571.12,245708242.4,111885990.22,3641319322.13,15714883628.63,109291334.51,17514970.32,,4054882989.14,714719776.5,3340163212.64,,775204531.73,308824130.14,144690703.49,,,533580560.09,,13482901.36,58902374.58,6016374495.36,,,6255076.0,6255076.0,,50103745.22,181570390.47,11284191.68,,262995615.44,6279370110.8,769926532.0,,,,277332615.83,,486497501.16,,383021391.0,7253770772.45,,,9170548812.44,264964705.39,9435513517.83,15714883628.63
